time,id,room,mac_addr,status,power[W],ble_rssi,node_rssi
2026-03-28 15:24:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-72,-93
2026-03-28 15:24:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:24:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:27:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-71,-93
2026-03-28 15:27:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:27:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:30:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-73,-94
2026-03-28 15:30:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:30:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:33:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-79,-91
2026-03-28 15:33:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:33:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:36:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-72,-92
2026-03-28 15:36:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:36:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:39:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-73,-93
2026-03-28 15:39:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:39:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:42:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-73,-92
2026-03-28 15:42:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:42:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:45:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-73,-93
2026-03-28 15:45:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 15:45:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:48:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,NODE_WEAK,13.3,-81,-92
